"sale_date"	"sale_price"	"sale_reason"	"sale_instrument"	"sale_warning"	"sitetype"	"addr_full"	"zip5"	"ctyname"	"postalctyn"	"lon"	"lat"	"building_grade"	"square_feet_total_living"	"bedrooms"	"bath_full_count"	"bath_half_count"	"bath_3qtr_count"	"year_built"	"year_renovated"	"current_zoning"	"sq_ft_lot"	"prop_type"	"present_use"	"residuals"	"std_residuals"	"stu_residuals"	"cooks_distance"	"dfbeta.(Intercept)"	"dfbeta.bath_full_count"	"dfbeta.building_grade"	"dfbeta.square_feet_total_living"	"dffit"	"leverage"	"covariance_ratios"
2006-01-24	 640900	 1	 3	NA	"R1"	"12232 243RD PL NE"	98053	NA	"REDMOND"	-122.0148	47.70755	 8	 2520	 3	 2	1	0	2005	   0	"URPSO"	   5580	"R"	  2	-1.452550e+04	-4.054328e-02	-4.054170e-02	4.054651e-08	-3.842544e+00	-8.531866e-01	 5.613377e-01	-1.488031e-04	-4.027077e-04	9.865815e-05	1.0004093
2006-01-24	 589950	 1	 3	NA	"R1"	"11842 173RD PL NE"	98052	"REDMOND"	"REDMOND"	-122.1083	47.70629	 8	 2530	 4	 2	1	0	2005	   0	"R4"	   3832	"R"	  2	-6.688207e+04	-1.866799e-01	-1.866729e-01	8.615847e-07	-1.806816e+01	-3.884221e+00	 2.660861e+00	-8.159760e-04	-1.856362e-03	9.888257e-05	1.0003992
2006-01-24	 465000	 1	 3	NA	"R1"	"6057 189TH PL NE"	98052	"REDMOND"	"REDMOND"	-122.0873	47.66087	 9	 1515	 2	 2	1	0	2002	   0	"R12"	   3503	"R"	  2	-8.926970e+04	-2.492273e-01	-2.492182e-01	8.952942e-06	 1.064593e+02	-8.939057e+00	-2.007531e+01	 2.681747e-02	-5.984075e-03	5.762144e-04	1.0008685
2006-01-24	 443509	 1	 3	NA	"R1"	"24253 NE VINE MAPLE WAY"	98053	NA	"REDMOND"	-122.0153	47.70267	 8	 1350	 2	 1	0	1	2005	   0	"URPSO"	   4939	"R"	 29	-1.213305e+04	-3.386936e-02	-3.386805e-02	9.328767e-08	 3.742999e+00	 1.443006e+00	-1.453799e+00	 1.850099e-03	-6.108369e-04	3.251839e-04	1.0006361
2006-01-24	 362000	 1	 3	NA	"R1"	"13706 NE 76TH PL"	98052	"REDMOND"	"REDMOND"	-122.1567	47.67278	 7	 1250	 3	 1	0	1	1963	   0	"R6"	   7381	"R"	  2	-3.937116e+04	-1.099000e-01	-1.098958e-01	7.374698e-07	-2.079220e+01	 3.431983e+00	 6.980033e-01	 2.286683e-03	-1.717455e-03	2.441759e-04	1.0005516
2006-01-25	 494000	 1	 3	NA	"R1"	"5931 189TH PL NE"	98052	"REDMOND"	"REDMOND"	-122.0875	47.66006	 9	 1695	 3	 2	1	0	2002	   0	"R12"	   3910	"R"	  2	-8.558807e+04	-2.389366e-01	-2.389279e-01	6.775114e-06	 9.341015e+01	-7.550012e+00	-1.748945e+01	 2.269442e-02	-5.205619e-03	4.744659e-04	1.0007681
2006-01-25	 345000	 1	 3	NA	"R2"	"8607 139TH AVE NE"	98052	"REDMOND"	"REDMOND"	-122.1545	47.67981	 7	 1280	 3	 1	1	1	1984	   0	"R5"	   2437	"R"	  2	-6.059089e+04	-1.691321e-01	-1.691257e-01	1.722963e-06	-3.301855e+01	 5.401952e+00	 1.281337e+00	 3.163528e-03	-2.625134e-03	2.408680e-04	1.0005432
2006-01-26	1053649	 1	 3	NA	"R1"	"23821 NE ADAIR RD"	98053	NA	"REDMOND"	-122.0212	47.70902	 9	 2680	 2	 2	1	0	2005	   0	"URPSO"	   8517	"R"	  2	 3.355132e+05	 9.364980e-01	 9.364935e-01	3.116164e-05	-1.805978e+02	 7.724000e+00	 3.088172e+01	-2.429155e-02	 1.116447e-02	1.421035e-04	1.0001804
2006-01-26	 870000	 1	 3	"40"	"R1"	"10138 219TH PL NE"	98053	NA	"REDMOND"	-122.0471	47.68932	10	 4100	 4	 2	1	0	1990	   0	"RA5"	  47042	"R"	  2	-8.807482e+04	-2.458624e-01	-2.458534e-01	5.144108e-06	 5.585202e+01	 8.461440e+00	-6.973886e+00	-8.052793e-03	-4.535959e-03	3.402813e-04	1.0006328
2006-01-26	 844148	 1	 3	NA	"R1"	"16135 NE 41ST CT"	98052	"REDMOND"	"REDMOND"	-122.1246	47.64694	10	 3160	 3	 2	1	0	1989	   0	"R4"	   9521	"R"	  2	 1.829136e+04	 5.106068e-02	 5.105870e-02	2.225083e-07	-2.125002e+01	-6.195858e-01	 3.407840e+00	-1.691447e-03	 9.433792e-04	3.412596e-04	1.0006517
